episode,reward,length,collisions,actions
0,18.519327070715267,22,0,41
1,28.803008225502793,39,0,86
2,62.51633773683402,80,0,152
3,38.393209538148724,46,0,75
4,25.744463904983185,32,0,60
5,14.311233986957268,17,0,36
6,37.43253863295969,44,0,89
7,21.346651671987484,24,0,45
8,9.009545476809768,11,0,20
9,48.12480036593513,58,0,100
10,14.637821181187864,19,0,36
11,43.594667650503844,58,0,114
12,17.699373175928677,22,0,52
13,15.249365363830776,18,0,35
14,4.877634750670045,6,0,9
15,18.65441369974739,24,0,47
16,24.375958932762277,31,0,59
17,21.372495369471935,27,0,54
18,8.296844267960424,10,0,19
19,7.509982832968896,10,0,16
20,12.435725974693183,16,0,41
21,37.75226485982491,50,0,88
22,10.235975495843533,12,0,16
23,5.939104660887266,7,0,16
24,13.234219128881563,17,0,32
25,9.343149568706409,11,0,23
26,3.8045163896202387,5,0,5
27,7.042508721814357,10,0,20
28,6.99577536110938,10,0,20
29,14.535367144849436,17,0,35
30,11.315174073783371,16,0,26
31,18.543568289855568,23,0,47
32,5.623763378417669,7,0,7
33,40.56289202377008,55,0,107
34,15.401957595185232,19,0,39
35,62.343490207893375,80,0,178
36,14.154925038145995,16,0,32
37,17.539333087048732,25,0,45
38,23.56567665239891,27,0,58
39,4.713085678248643,6,0,13
40,10.252544657232942,12,0,28
41,19.519579446864242,24,0,39
42,5.110175707530086,7,0,8
43,8.332715322741775,11,0,27
44,23.96819066696853,33,0,68
45,19.476992900338395,23,0,51
46,25.24354983489999,29,0,65
47,15.584405154233702,21,0,43
48,6.9945309317195505,9,0,19
49,6.257313331967703,8,0,14
50,35.987033901036064,42,0,82
51,15.43982615628204,21,0,43
52,7.513402839242439,9,0,18
53,11.415388961585462,13,0,28
54,14.047167633225888,19,0,52
55,3.9046103315624103,5,0,8
56,22.861655055392514,31,0,55
57,41.2735736860177,49,0,105
58,6.762107199459025,9,0,16
59,48.16468519905753,59,0,104
60,11.287718222817945,13,0,29
61,20.148578016089413,25,0,46
62,6.199102057108784,8,0,13
63,9.856014338030306,11,0,26
64,12.018109596520503,17,0,30
65,14.617284829792679,18,0,39
66,8.605392921393785,12,0,28
67,25.28320614204254,32,0,69
68,11.591349699432435,14,0,24
69,54.16106526832373,67,0,121
70,12.944387413944597,17,0,36
71,14.456341720541339,19,0,25
72,36.79714073367821,43,0,85
73,26.776139771431158,35,0,76
74,43.18793523356833,52,0,96
75,32.166010425471924,38,0,80
76,7.951663834515594,12,0,27
77,71.89069768677318,80,0,160
78,13.067397913168726,19,0,37
79,8.428163381985721,11,0,25
80,14.737510941135707,19,0,29
81,39.81326036779134,52,0,97
82,27.23915027425298,33,0,72
83,20.77041446498353,25,0,67
84,31.94771362443955,44,0,92
85,11.157726375138447,14,0,26
86,7.243334878766645,9,0,16
87,2.958197434339838,4,0,7
88,23.666818632006112,30,0,60
89,9.407762671918675,11,0,18
90,8.472104353823983,10,0,18
91,19.843221543484713,26,0,38
92,31.55371754636037,41,0,75
93,22.66192513077321,27,0,65
94,27.16676742997984,32,0,44
95,20.022049666684683,28,0,52
96,13.65408870739009,18,0,33
97,5.257764168014295,8,0,19
98,22.97640066964707,27,0,46
99,8.9217743347383,11,0,26
